iter	Passed	Remaining
0	137	137654
1	139	69774
2	142	47199
3	144	35900
4	146	29135
5	148	24621
6	151	21500
7	154	19141
8	157	17312
9	159	15817
10	162	14577
11	168	13876
12	173	13137
13	175	12385
14	178	11705
15	180	11120
16	183	10609
17	185	10134
18	187	9693
19	190	9311
20	192	8961
21	194	8643
22	196	8354
23	198	8084
24	201	7840
25	203	7609
26	205	7391
27	207	7196
28	210	7032
29	212	6879
30	215	6722
31	217	6575
32	219	6441
33	222	6315
34	224	6190
35	227	6081
36	229	5976
37	231	5868
38	233	5760
39	236	5664
40	238	5568
41	240	5479
42	242	5401
43	244	5322
44	247	5253
45	249	5177
46	251	5107
47	253	5035
48	256	4973
49	258	4915
50	260	4854
51	262	4793
52	265	4740
53	267	4685
54	269	4628
55	271	4574
56	273	4529
57	275	4481
58	277	4432
59	279	4386
60	282	4347
61	284	4309
62	287	4268
63	289	4236
64	291	4198
65	294	4164
66	296	4125
67	298	4089
68	300	4055
69	302	4023
70	305	3996
71	307	3964
72	309	3935
73	312	3908
74	315	3885
75	317	3863
76	320	3836
77	322	3814
78	325	3793
79	327	3766
80	329	3740
81	332	3716
82	334	3693
83	336	3672
84	339	3651
85	341	3630
86	344	3610
87	346	3591
88	349	3573
89	351	3556
90	354	3541
91	356	3522
92	359	3504
93	361	3487
94	364	3469
95	366	3453
96	369	3438
97	372	3424
98	374	3405
99	376	3386
100	378	3368
101	380	3353
102	383	3337
103	385	3322
104	387	3307
105	390	3292
106	392	3276
107	394	3260
108	397	3248
109	400	3237
110	402	3224
111	405	3211
112	407	3199
113	409	3185
114	412	3173
115	414	3158
116	417	3150
117	419	3136
118	421	3122
119	423	3108
120	426	3096
121	428	3083
122	430	3071
123	432	3058
124	435	3045
125	437	3034
126	439	3022
127	442	3011
128	444	2999
129	447	2993
130	449	2982
131	451	2971
132	454	2961
133	456	2952
134	459	2944
135	461	2934
136	465	2929
137	467	2919
138	469	2908
139	471	2897
140	474	2888
141	476	2878
142	478	2868
143	480	2858
144	482	2847
145	485	2839
146	487	2830
147	489	2820
148	492	2811
149	494	2803
150	497	2794
151	499	2785
152	501	2777
153	504	2768
154	506	2759
155	508	2750
156	510	2741
157	513	2735
158	515	2727
159	517	2719
160	520	2710
161	522	2703
162	524	2695
163	527	2687
164	529	2678
165	531	2671
166	534	2664
167	536	2657
168	538	2649
169	540	2637
170	542	2632
171	545	2625
172	547	2617
173	550	2613
174	553	2609
175	555	2602
176	558	2596
177	561	2592
178	563	2586
179	566	2579
180	568	2573
181	571	2568
182	573	2562
183	576	2556
184	578	2550
185	581	2544
186	583	2537
187	585	2530
188	588	2524
189	591	2520
190	593	2513
191	595	2506
192	597	2500
193	600	2495
194	602	2488
195	605	2482
196	607	2477
197	610	2471
198	612	2464
199	614	2458
200	617	2452
201	619	2447
202	622	2442
203	624	2436
204	626	2430
205	629	2425
206	631	2420
207	633	2413
208	636	2408
209	639	2404
210	641	2398
211	643	2392
212	646	2387
213	648	2381
214	651	2377
215	653	2371
216	655	2366
217	658	2361
218	660	2355
219	662	2350
220	665	2345
221	667	2340
222	670	2336
223	672	2331
224	675	2326
225	677	2321
226	680	2316
227	682	2311
228	685	2306
229	687	2302
230	690	2298
231	692	2293
232	695	2289
233	698	2287
234	701	2283
235	703	2278
236	706	2273
237	708	2268
238	711	2264
239	713	2260
240	716	2255
241	718	2250
242	720	2245
243	723	2240
244	725	2236
245	728	2231
246	730	2227
247	733	2223
248	735	2219
249	738	2215
